,Title,Company,Job Age,Location,Job Description Link
0,DATA ANALYST,PRESTON ASSOCIATES INTERNATIONAL DEVELOPMENT,3d,Abuja,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
1,Data Analyst,Emmiz Consulting International,2d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
2,Data Analyst,Connected Analytics Limited,16d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
3,DATA ANALYST,Prowedge Limited,11d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
4,Data Analyst – Nigeria IHP – FCT,"Palladium Group, Inc.",5d,Nigeria,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
5,Data Analyst,GVA Partners,11d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
6,Customer Service Analyst 1,Visteon Corporation,2d,Plateau,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
7,Remote Bilingual Implementation Analyst.,VIDCRUITER,19d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
8,Quality Control Analyst,Melvrick Hound,4d,Benin-City,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
9,Research Analyst,BROOT Consulting Limited,5d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
10,Full stack developer,Horizonpay Nigeria Limited,11d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
11,Data Analyst Job at Sundry Foods Limited,Sundry Foods Limited,12d,Rivers,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
12,POLICY AND RESEARCH ANALYST,MEG Consults,15d,Abuja,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f20a6eaf51d9481f3673d3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b73b541&cb=1661681666924&jobListingId=1008091093957&jrtk=3-0-1gbhv42kljoql801-1gbhv42l3g2d7800-54cd832709cfbde0-
